192.168.53.247,PANEL PUERTA CEX6
192.168.53.242,PANEL PUERTA CEX1
192.168.53.248,PANEL PUERTA CEX7 (CAJA CIMA ENTRE CEX 6-7)
192.168.53.243,PANEL PUERTA CEX2
192.168.53.249,PANEL PUERTA CEX8
192.168.53.244,PANEL PUERTA CEX3
192.168.53.250,PANEL PUERTA CEX9
192.168.53.245,PANEL PUERTA CEX4
192.168.53.251,PANEL PUERTA CEX10
192.168.53.246,PANEL PUERTA CEX5
192.168.53.252,PANEL PUERTA CEX11
192.168.53.232,TV PL.0: PASILLO 1 ( Esquerre mirant desde maqueta)
192.168.53.233,TV PL.0: PASILLO 2 (Dreta mirant desde maqueta)
192.168.53.226,TV URGENCIAS - SALA EBOLA
192.168.53.234,TV PL.0: RX
192.168.53.240,TV PL.0: RHB
192.168.53.238,TV PL-1: SALA DE ESPERA LABORATORIO PL-1
192.168.53.241,TV PL-1: CEX 15-16
192.168.53.236,TV PL.1:PASILLO UH 1-2
192.168.53.237,TV PL.2: PASILLO UH 3-4
192.168.53.239,TV EDF.2 PL -1: SALA DE ESPERA RMN 
192.168.53.235,TV PL.0: SALA DE ESPERA URGENCIAS
192.168.53.230,MOSTRADOR URGENCIAS
192.168.53.228,ADMISIONES 1 IMPRESORA (most. esq)
192.168.53.229,ADMISIONES 2 IMPRESORA (most. dreta)
192.168.53.227,ADMISIONES 3 PEDESTAL
192.168.53.231,TV PL.0: ADMISIONES
